fault_bus,fault_type,fault_R_ohm,Va_mag_pu,Va_ang_deg,Vb_mag_pu,Vb_ang_deg,Vc_mag_pu,Vc_ang_deg,Ia_mag_A,Ia_ang_deg,Ib_mag_A,Ib_ang_deg,Ic_mag_A,Ic_ang_deg
243937,3LG,0,0.035285,-85.3597,0.035282,154.829,0.035231,34.5665,0.2985,-113.2182,0.2994,126.7957,0.299,6.6509
243937,3LG,10,1.106893,-24.78,1.107358,-144.5237,1.103896,95.2283,8.5308,-52.6325,8.5516,-172.6286,8.5417,67.2482
243937,3LG,20,1.107593,-24.6959,1.108059,-144.4395,1.104592,95.3125,8.5362,-52.5483,8.557,-172.5445,8.5471,67.3324
243937,3LG,30,1.107826,-24.6679,1.108292,-144.4114,1.104823,95.3405,8.538,-52.5203,8.5588,-172.5164,8.5489,67.3605
243937,3LG,40,1.107943,-24.6539,1.108408,-144.3973,1.104939,95.3546,8.5388,-52.5062,8.5597,-172.5024,8.5498,67.3745
157347,SLG,0,0.46543,-29.5929,1.267299,-158.6146,1.35152,105.9553,8.8797,-54.2659,9.3147,-172.9828,9.2806,64.0644
157347,SLG,10,1.101911,-25.1858,1.114432,-144.428,1.103682,95.6882,8.5292,-52.7,8.5442,-172.483,8.5647,67.3222
157347,SLG,20,1.105111,-24.9009,1.111617,-144.3908,1.104454,95.5429,8.5355,-52.5829,8.5533,-172.4721,8.5587,67.3694
157347,SLG,30,1.106173,-24.805,1.110669,-144.3787,1.104725,95.4943,8.5375,-52.5435,8.5563,-172.4683,8.5566,67.3852
157347,SLG,40,1.106704,-24.7569,1.110193,-144.3727,1.104862,95.4699,8.5385,-52.5238,8.5578,-172.4663,8.5556,67.393
157347,LL,0,0.502305,-28.6874,0.453726,-153.2862,1.344075,93.719,6.5673,-79.5836,6.568,-150.7167,10.6848,64.8475
157347,LL,10,1.10034,-24.8944,1.107967,-145.0011,1.109343,95.6124,8.5419,-52.7959,8.5318,-172.7229,8.5463,67.2992
157347,LL,20,1.104283,-24.7551,1.10841,-144.6798,1.10731,95.5068,8.5418,-52.6306,8.5472,-172.5922,8.5495,67.3572
157347,LL,30,1.105612,-24.7078,1.108537,-144.572,1.106634,95.4706,8.5417,-52.5753,8.5523,-172.5484,8.5505,67.3768
157347,LL,40,1.106279,-24.6839,1.108596,-144.5179,1.106296,95.4524,8.5417,-52.5475,8.5548,-172.5264,8.551,67.3867
157347,3LG,0,0.488869,-32.6065,0.488825,-152.4122,0.488021,87.3094,4.1357,-60.4626,4.1478,179.5477,4.1424,59.3982
157347,3LG,10,1.105932,-24.969,1.106407,-144.713,1.102946,95.0396,8.5234,-52.8214,8.5443,-172.8177,8.5343,67.0592
157347,3LG,20,1.107121,-24.791,1.107591,-144.5346,1.104124,95.2176,8.5325,-52.6433,8.5534,-172.6395,8.5435,67.2374
157347,3LG,30,1.107513,-24.7313,1.107982,-144.4749,1.104513,95.2772,8.5356,-52.5837,8.5564,-172.5799,8.5465,67.297
157347,3LG,40,1.107708,-24.7015,1.108177,-144.445,1.104707,95.307,8.5371,-52.5539,8.5579,-172.55,8.548,67.3269
