Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"S3X_1001213", 0.4157, 2,    229.426, -159.1,   0.95592, 0, 0, 0, 0, 0, 0, 0, 0
"S4X_1001213", 0.4157, 2,    229.426, -159.1,   0.95592, 0, 0, 0, 0, 0, 0, 0, 0
"S5X_1001213", 0.4157, 2,    229.426, -159.1,   0.95592, 0, 0, 0, 0, 0, 0, 0, 0
"S6X_1001213", 0.4157, 2,    229.426, -159.1,   0.95592, 0, 0, 0, 0, 0, 0, 0, 0
"S7X_1001213", 0.4157, 2,    229.426, -159.1,   0.95592, 0, 0, 0, 0, 0, 0, 0, 0
"S8X_1001213", 0.4157, 2,    229.426, -159.1,   0.95592, 0, 0, 0, 0, 0, 0, 0, 0
"X_1001227", 0.4157, 3,    228.172,   80.7,    0.9507, 0, 0, 0, 0, 0, 0, 0, 0
"S1X_1001227", 0.4157, 3,    227.353,   80.7,   0.94729, 0, 0, 0, 0, 0, 0, 0, 0
"S2X_1001227", 0.4157, 3,    227.353,   80.7,   0.94729, 0, 0, 0, 0, 0, 0, 0, 0
"S3X_1001227", 0.4157, 3,    227.353,   80.7,   0.94729, 0, 0, 0, 0, 0, 0, 0, 0
"S4X_1001227", 0.4157, 3,    227.353,   80.7,   0.94729, 0, 0, 0, 0, 0, 0, 0, 0
"S5X_1001227", 0.4157, 3,    227.353,   80.7,   0.94729, 0, 0, 0, 0, 0, 0, 0, 0
"X_1001226", 0.4157, 3,    228.177,   80.7,   0.95072, 0, 0, 0, 0, 0, 0, 0, 0
"S1X_1001226", 0.4157, 3,    227.154,   80.7,   0.94646, 0, 0, 0, 0, 0, 0, 0, 0
"S2X_1001226", 0.4157, 3,    227.154,   80.7,   0.94646, 0, 0, 0, 0, 0, 0, 0, 0
"S3X_1001226", 0.4157, 3,    227.154,   80.7,   0.94646, 0, 0, 0, 0, 0, 0, 0, 0
"S4X_1001226", 0.4157, 3,    227.154,   80.7,   0.94646, 0, 0, 0, 0, 0, 0, 0, 0
"X_1001225", 0.4157, 3,    228.182,   80.7,   0.95074, 0, 0, 0, 0, 0, 0, 0, 0
"S1X_1001225", 0.4157, 3,    227.364,   80.7,   0.94733, 0, 0, 0, 0, 0, 0, 0, 0
"S2X_1001225", 0.4157, 3,    227.364,   80.7,   0.94733, 0, 0, 0, 0, 0, 0, 0, 0
"S3X_1001225", 0.4157, 3,    227.364,   80.7,   0.94733, 0, 0, 0, 0, 0, 0, 0, 0
"S4X_1001225", 0.4157, 3,    227.364,   80.7,   0.94733, 0, 0, 0, 0, 0, 0, 0, 0
"S5X_1001225", 0.4157, 3,    227.364,   80.7,   0.94733, 0, 0, 0, 0, 0, 0, 0, 0
"X_1001223", 0.4157, 1,    228.867,  -39.5,   0.95359, 0, 0, 0, 0, 0, 0, 0, 0
"S1X_1001223", 0.4157, 1,    227.915,  -39.4,   0.94963, 0, 0, 0, 0, 0, 0, 0, 0
"S2X_1001223", 0.4157, 1,    227.915,  -39.4,   0.94963, 0, 0, 0, 0, 0, 0, 0, 0
"S3X_1001223", 0.4157, 1,    227.915,  -39.4,   0.94963, 0, 0, 0, 0, 0, 0, 0, 0
"S4X_1001223", 0.4157, 1,    227.915,  -39.4,   0.94963, 0, 0, 0, 0, 0, 0, 0, 0
