SmartMeter_ID,Load_Name,Bus1,Base_Bus,Phases,kV,Base_Min_pu,Fault_Min_pu,Delta_pu,Confirmed_Fault_Outage
SM_564,1001217-DA5,S5X_1001217.1,S5X_1001217,1,0.24,0.95666,0.00015186,-0.95650814,True
SM_565,1001217-DA6,S6X_1001217.1,S6X_1001217,1,0.24,0.95666,0.00015186,-0.95650814,True
SM_566,1001217-DA7,S7X_1001217.1,S7X_1001217,1,0.24,0.95666,0.00015186,-0.95650814,True
SM_567,1001217-DA8,S8X_1001217.1,S8X_1001217,1,0.24,0.95666,0.00015186,-0.95650814,True
SM_568,1001218-DA1,S1X_1001218.1,S1X_1001218,1,0.24,0.95597,0.00015175,-0.95581825,True
SM_569,1001218-DA2,S2X_1001218.1,S2X_1001218,1,0.24,0.95597,0.00015175,-0.95581825,True
SM_570,1001218-DA3,S3X_1001218.1,S3X_1001218,1,0.24,0.95597,0.00015175,-0.95581825,True
SM_571,1001218-DA4,S4X_1001218.1,S4X_1001218,1,0.24,0.95597,0.00015175,-0.95581825,True
SM_572,1001218-DA5,S5X_1001218.1,S5X_1001218,1,0.24,0.95597,0.00015175,-0.95581825,True
SM_573,1001218-DA6,S6X_1001218.1,S6X_1001218,1,0.24,0.95597,0.00015175,-0.95581825,True
SM_574,1001220-DA1,S1X_1001220.1,S1X_1001220,1,0.24,0.95545,0.00015166,-0.95529834,True
SM_575,1001220-DA2,S2X_1001220.1,S2X_1001220,1,0.24,0.95545,0.00015166,-0.95529834,True
SM_576,1001220-DA3,S3X_1001220.1,S3X_1001220,1,0.24,0.95545,0.00015166,-0.95529834,True
SM_577,1001220-DA4,S4X_1001220.1,S4X_1001220,1,0.24,0.95545,0.00015166,-0.95529834,True
SM_578,1001220-DA5,S5X_1001220.1,S5X_1001220,1,0.24,0.95545,0.00015166,-0.95529834,True
SM_601,1001223-DA1,S1X_1001223.1,S1X_1001223,1,0.24,0.95474,0.00015155,-0.95458845,True
SM_602,1001223-DA2,S2X_1001223.1,S2X_1001223,1,0.24,0.95474,0.00015155,-0.95458845,True
SM_603,1001223-DA3,S3X_1001223.1,S3X_1001223,1,0.24,0.95474,0.00015155,-0.95458845,True
SM_604,1001223-DA4,S4X_1001223.1,S4X_1001223,1,0.24,0.95474,0.00015155,-0.95458845,True
SM_605,1001222-DA1,S1X_1001222.1,S1X_1001222,1,0.24,0.95657,0.00015184,-0.95641816,True
SM_606,1001222-DA2,S2X_1001222.1,S2X_1001222,1,0.24,0.95657,0.00015184,-0.95641816,True
SM_607,1001222-DA3,S3X_1001222.1,S3X_1001222,1,0.24,0.95657,0.00015184,-0.95641816,True
SM_608,1001222-DA4,S4X_1001222.1,S4X_1001222,1,0.24,0.95657,0.00015184,-0.95641816,True
SM_609,1001222-DA5,S5X_1001222.1,S5X_1001222,1,0.24,0.95657,0.00015184,-0.95641816,True
SM_610,1001222-DA6,S6X_1001222.1,S6X_1001222,1,0.24,0.95657,0.00015184,-0.95641816,True
SM_611,1001222-DA7,S7X_1001222.1,S7X_1001222,1,0.24,0.95657,0.00015184,-0.95641816,True
SM_612,1001222-DA8,S8X_1001222.1,S8X_1001222,1,0.24,0.95657,0.00015184,-0.95641816,True
SM_613,1001221-DA1,S1X_1001221.1,S1X_1001221,1,0.24,0.94347,0.00014976,-0.94332024,True
SM_614,1001219-DA1,S1X_1001219.1,S1X_1001219,1,0.24,0.9532,0.00015131,-0.95304869,True
SM_615,1001219-DA2,S2X_1001219.1,S2X_1001219,1,0.24,0.9532,0.00015131,-0.95304869,True
SM_687,1003125-DA1,S1X_1003125.1,S1X_1003125,1,0.24,0.95396,0.0027435,-0.9512165,True
SM_859,1007732-DA1,S1X_1007732.1,S1X_1007732,1,0.24,0.96106,0.10007,-0.86099,True
SM_860,1007732-DB1,S1X_1007732.2,S1X_1007732,1,0.24,0.96106,0.10007,-0.86099,True
SM_861,1007732-DC1,S1X_1007732.3,S1X_1007732,1,0.24,0.96106,0.10007,-0.86099,True
SM_862,1007805-DA1,S1X_1007805.1,S1X_1007805,1,0.24,0.96372,0.1972,-0.7665200000000001,True
SM_863,1007805-DA2,S2X_1007805.1,S2X_1007805,1,0.24,0.96372,0.1972,-0.7665200000000001,True
SM_864,1007805-DB1,S1X_1007805.2,S1X_1007805,1,0.24,0.96372,0.1972,-0.7665200000000001,True
SM_865,1007805-DB2,S2X_1007805.2,S2X_1007805,1,0.24,0.96372,0.1972,-0.7665200000000001,True
SM_866,1007805-DC1,S1X_1007805.3,S1X_1007805,1,0.24,0.96372,0.1972,-0.7665200000000001,True
SM_867,1007805-DC2,S2X_1007805.3,S2X_1007805,1,0.24,0.96372,0.1972,-0.7665200000000001,True
